|@id|@type|CompanyNumber|ComptesDeResultats|CorporateShareholders|IndustryCode|Name|OpenCorporateURL|documentDeReferences|id|shareholdings
0|/api/corporates/524972|Corporate|828906289|[/api/compte_de_resultats/266574]|[]|7410Z|DITO|https://opencorporates.com/companies/fr/828906289|[]|524972|[]
1|/api/corporates/524973|Corporate|835312075|[]|[]|6209Z|TSBCONSEIL|https://opencorporates.com/companies/fr/835312075|[]|524973|[]
2|/api/corporates/524974|Corporate|530399567|[]|[]|4322A|SYNERGY|https://opencorporates.com/companies/fr/530399567|[]|524974|[]
3|/api/corporates/524975|Corporate|402447726|[]|[]|6920Z|SAFIGEC DAUPHINE SAVOIES|https://opencorporates.com/companies/fr/402447726|[]|524975|[]
4|/api/corporates/524976|Corporate|301374922|[]|[]|1086Z|BLEDINA|https://opencorporates.com/companies/fr/301374922|[]|524976|[]
5|/api/corporates/524977|Corporate|808394134|[]|[]|6420Z|HG I&C|https://opencorporates.com/companies/fr/808394134|[]|524977|[]
6|/api/corporates/524978|Corporate|814145173|[]|[]|4751Z|ARCI|https://opencorporates.com/companies/fr/814145173|[]|524978|[]
7|/api/corporates/524979|Corporate|421871187|[]|[]|6420Z|D.V.E.|https://opencorporates.com/companies/fr/421871187|[]|524979|[]
8|/api/corporates/524980|Corporate|438369332|[]|[]|4649Z|DIKSONMAYOR FRANCE|https://opencorporates.com/companies/fr/438369332|[]|524980|[]
9|/api/corporates/524981|Corporate|801012345|[]|[]|6202A|Actium IT|https://opencorporates.com/companies/fr/801012345|[]|524981|[]
10|/api/corporates/524982|Corporate|509467742|[/api/compte_de_resultats/266578]|[]|7010Z|ROI FINANCE|https://opencorporates.com/companies/fr/509467742|[]|524982|[]
11|/api/corporates/524983|Corporate|343872800|[]|[]|9511Z|CONSEIL MAINTENANCE DISTRIBUTION INFORMATIQUE|https://opencorporates.com/companies/fr/343872800|[]|524983|[]
12|/api/corporates/524984|Corporate|492811286|[/api/compte_de_resultats/266580]|[]|6420Z|Solice gestion|https://opencorporates.com/companies/fr/492811286|[]|524984|[]
