|@id|@type|CompanyNumber|ComptesDeResultats|CorporateShareholders|IndustryCode|Name|OpenCorporateURL|documentDeReferences|id|shareholdings
18945|/api/corporates/570077|Corporate|788994911|[]|[]|8891A|LA MAISON BLEUE - MEAUX|https://opencorporates.com/companies/fr/788994911|[]|570077|[]
18946|/api/corporates/570078|Corporate|352773709|[/api/compte_de_resultats/309402]|[]|6420Z|FINANCIERE ODRA|https://opencorporates.com/companies/fr/352773709|[]|570078|[]
18947|/api/corporates/570079|Corporate|834596017|[/api/compte_de_resultats/309403]|[]|8020Z|CENOV'PROTECTION|https://opencorporates.com/companies/fr/834596017|[]|570079|[]
18948|/api/corporates/570080|Corporate|494250293|[/api/compte_de_resultats/309405]|[]|6622Z|L'ASSUREUR CREDIT|https://opencorporates.com/companies/fr/494250293|[]|570080|[]
18949|/api/corporates/570081|Corporate|835191222|[/api/compte_de_resultats/309408]|[]|4722Z|BOUCHERIE MELINE|https://opencorporates.com/companies/fr/835191222|[]|570081|[]
18950|/api/corporates/570082|Corporate|384207965|[]|[]|6831Z|SARL DE PORTBAIL|https://opencorporates.com/companies/fr/384207965|[]|570082|[]
18951|/api/corporates/570083|Corporate|451758874|[/api/compte_de_resultats/309409]|[]|7112B|SOFRATEC|https://opencorporates.com/companies/fr/451758874|[]|570083|[]
18952|/api/corporates/570084|Corporate|422393025|[]|[]|6420Z|COOPER MENVIER FRANCE SARL|https://opencorporates.com/companies/fr/422393025|[]|570084|[]
18953|/api/corporates/570085|Corporate|331277343|[]|[]|4322A|STE ANDREENNE DE TRAVAUX SAT|https://opencorporates.com/companies/fr/331277343|[]|570085|[]
18954|/api/corporates/570086|Corporate|488969379|[]|[]|4322B|AIR ENERGIE SERVICE CLIMATISATION|https://opencorporates.com/companies/fr/488969379|[]|570086|[]
18955|/api/corporates/570087|Corporate|819990433|[]|[]|5221Z|D.V.I.|https://opencorporates.com/companies/fr/819990433|[]|570087|[]
18956|/api/corporates/570088|Corporate|753717149|[]|[]|6810Z|CLAIR ERMITAGE|https://opencorporates.com/companies/fr/753717149|[]|570088|[]
18957|/api/corporates/570089|Corporate|348636606|[/api/compte_de_resultats/309413]|[]|6820B|SUD IMMO|https://opencorporates.com/companies/fr/348636606|[]|570089|[]
18958|/api/corporates/570090|Corporate|534038351|[]|[]|6201Z|Dar Essalam|https://opencorporates.com/companies/fr/534038351|[]|570090|[]
18959|/api/corporates/570091|Corporate|380525477|[/api/compte_de_resultats/309415, /api/compte_de_resultats/309414]|[]|6420Z|MOY PARK FRANCE (HOLDINGS) SAS|https://opencorporates.com/companies/fr/380525477|[]|570091|[]
18960|/api/corporates/570092|Corporate|330621327|[]|[]|6832A|CABINET GARRAUD MAILLET|https://opencorporates.com/companies/fr/330621327|[]|570092|[]
18961|/api/corporates/570093|Corporate|351836770|[]|[]|4778A|WALTER J.S. OPTIC|https://opencorporates.com/companies/fr/351836770|[]|570093|[]
18962|/api/corporates/570094|Corporate|750143521|[]|[]|4776Z|EURL PLANET'FLEURS|https://opencorporates.com/companies/fr/750143521|[]|570094|[]
18963|/api/corporates/570095|Corporate|833363294|[]|[]|6420Z|APCA|https://opencorporates.com/companies/fr/833363294|[]|570095|[]
18964|/api/corporates/570096|Corporate|502205354|[/api/compte_de_resultats/309417]|[]|2511Z|SOCIETE LILLOISE DE MENUISERIE ALUMINIUM|https://opencorporates.com/companies/fr/502205354|[]|570096|[]
18965|/api/corporates/570097|Corporate|608202727|[]|[]|3811Z|VEOLIA PROPRETE ILE-DE-FRANCE|https://opencorporates.com/companies/fr/608202727|[]|570097|[]
18966|/api/corporates/570098|Corporate|841969678|[]|[]|6820B|ETXEZORION|https://opencorporates.com/companies/fr/841969678|[]|570098|[]
18967|/api/corporates/570099|Corporate|349555177|[/api/compte_de_resultats/309419]|[]|6820B|MAUREPAS IMMO|https://opencorporates.com/companies/fr/349555177|[]|570099|[]
18968|/api/corporates/570100|Corporate|523635274|[]|[]|6820B|SAS SEINE BEZONS|https://opencorporates.com/companies/fr/523635274|[]|570100|[]
18969|/api/corporates/570101|Corporate|834125825|[]|[]|7810Z|K YACHTING SERVICES|https://opencorporates.com/companies/fr/834125825|[]|570101|[]
18970|/api/corporates/570102|Corporate|834177586|[/api/compte_de_resultats/309420]|[]|6420Z|SAS DU MOULIN BAGC|https://opencorporates.com/companies/fr/834177586|[]|570102|[]
18971|/api/corporates/570103|Corporate|519155709|[]|[]|8891A|La Maison Bleue-Versailles 3&MC|https://opencorporates.com/companies/fr/519155709|[]|570103|[]
18972|/api/corporates/570104|Corporate|439381229|[/api/compte_de_resultats/309421]|[]|6430Z|SUP'INVESTISSEMENT 59-62|https://opencorporates.com/companies/fr/439381229|[]|570104|[]
