|@id|@type|AchatMatierePremiereAutreAppro|AchatsDeMarchandises|AutreInteretEtProduitAssimile|AutresAchatEtChargesExternes|AutresCharges|AutresProduits|Benefice|ChargesExceptionnelleOperationCapital|ChargesExceptionnelleOperationGestion|ChargesExploitation|ChargesFinancieres|ChargesNetteCessionValeurMobiliereDePlacement|ChargesSociales|ChiffresAffairesNet|Corporate|DifferenceNegativeChange|DifferencesPositivesChange|Dividende|DotationAmortissementImmobilisations|DotationDepreciationActifCirculant|DotationDepreciationImmobilisations|DotationExceptionnelleAmortissementDepreciationProvision|DotationProvisions|DotationsFinancieresAmortissementDepreciationProvision|EffectifsMoyens|ImpotTaxesEtVersementsAssimiles|ImpotsSurLesBenefices|InteretEtChargeAssimilees|ParticipationSalariesAuxResultats|ProductionImmobilisee|ProductionStocked|ProductionVendueDeBiens|ProductionVendueDeServices|ProduitExceptionnelOperationCapital|ProduitExceptionnelOperationGestion|ProduitsAutresValeursMobiliereEtCreancesActifImmobilise|ProduitsExploitation|ProduitsFinanciers|ProduitsFinanciersParticipations|ProduitsNetsCessionsValeursMobilesPlacement|RepriseDepreciationEtProvisionTransfertsCharges|RepriseDepreciationProvisionTransfertCharge|RepriseDepreciationProvisionsTransfertCharges|ResultatExceptionnel|ResultatExploitation|ResultatFinancier|SalairesEtTraitements|SubventionsExploitation|VariationStockMarchandise|VariationStockMatierePremiereEtAppro|VenteMarchandises|id|year
0|/api/compte_de_resultats/194971|CompteDeResultat|0|0|0|1945|0|129|32816|13011|0|2276|24381|0|0|0|/api/corporates/420210|0|0|-1|0|0|0|0|0|0|-1|331|30950|24381|0|0|0|0|0|24362|601|0|129|78342|78342|0|0|0|0|11952|-2147|53961|0|0|0|0|0|194971|2017
1|/api/compte_de_resultats/194972|CompteDeResultat|0|0|0|42387|2|37|38770|0|0|423092|0|0|101184|456940|/api/corporates/169998|0|0|-1|0|0|0|0|0|0|2|7514|-1586|0|0|0|0|0|456940|0|982|0|456977|2317|2317|0|0|0|0|982|33884|2317|272004|0|0|0|0|194972|2017
2|/api/compte_de_resultats/194973|CompteDeResultat|0|0|0|735|0|0|2298|0|0|735|0|0|0|0|/api/corporates/420213|0|0|-1|0|0|0|0|0|0|-1|0|309|0|0|0|0|0|0|0|0|0|0|3343|3343|0|0|0|0|0|-735|3343|0|0|0|0|0|194973|2017
3|/api/compte_de_resultats/194974|CompteDeResultat|0|0|0|717|0|0|1084|0|0|717|0|0|0|0|/api/corporates/420213|0|0|-1|0|0|0|0|0|0|-1|0|281|0|0|0|0|0|0|0|0|0|0|2082|2082|0|0|0|0|0|-717|2082|0|0|0|0|0|194974|2016
4|/api/compte_de_resultats/194975|CompteDeResultat|893874|5615873|536|7385364|18302|50173|-193423|54749|18726|18922034|67449|0|1111197|18299573|/api/corporates/420214|0|0|62280|898974|7777|0|0|0|0|-1|371837|-20000|67449|0|0|362561|5019190|2556987|27150|61474|22|18748414|12498|11940|0|0|0|36106|15149|-173621|-54951|2569176|0|25174|24487|10723396|194975|2017
5|/api/compte_de_resultats/194976|CompteDeResultat|5810761|0|5|2806083|257|314|-620513|0|2579|11514642|15550|0|598284|10786807|/api/corporates/420215|0|0|-1|654350|0|0|30519|0|0|46|186157|0|15550|0|0|-101308|10644419|142387|28841|0|0|10755959|5|0|0|0|157972|70146|153715|-758683|-15545|1538271|0|0|-79521|0|194976|2016
6|/api/compte_de_resultats/194977|CompteDeResultat|1735794|0|0|744858|99213|-1258|-489283|0|3|2959505|622648|0|0|2419397|/api/corporates/420217|0|0|-1|9654|137202|0|55000|125768|424798|-1|107017|0|197850|0|8670|0|0|2419397|0|2|542251|2595620|542251|0|0|0|10000|168812|-45001|-363885|-80397|0|0|0|0|0|194977|2017
7|/api/compte_de_resultats/194978|CompteDeResultat|0|0|0|1800|0|0|8049|0|0|1951|0|0|0|0|/api/corporates/190312|0|0|-1|0|0|0|0|0|0|-1|151|0|0|0|0|0|0|0|0|0|0|0|10000|10000|0|0|0|0|0|-1951|10000|0|0|0|0|0|194978|2017
8|/api/compte_de_resultats/194979|CompteDeResultat|0|0|1287|5581|1|1|-4766|0|10|6045|0|0|0|0|/api/corporates/67807|0|0|-1|0|0|0|0|0|0|-1|463|0|0|0|0|0|0|0|0|0|0|1|1287|0|0|0|0|0|-10|-6043|1287|0|0|0|0|0|194979|2017
9|/api/compte_de_resultats/194980|CompteDeResultat|72|730768301|726313|18079049|345754|57185|4002548|326015|125685|761025387|60848|0|210|764729463|/api/corporates/217847|0|0|-1|1541184|201094|0|23809318|120218|0|-1|514785|591716|60848|0|485|0|0|1746460|150000|0|0|765184710|726313|0|0|0|23880495|397577|-230523|4159323|665465|0|0|9454721|0|762983003|194980|2017
10|/api/compte_de_resultats/194981|CompteDeResultat|0|346612|1027|139539|7|71|19761|0|0|652502|649|0|37159|673945|/api/corporates/420222|649|0|-1|1275|10276|0|0|0|0|-1|1874|2410|0|0|0|0|0|181057|0|0|0|674295|1027|0|0|0|0|280|0|21793|378|97724|0|18036|0|492888|194981|2016
11|/api/compte_de_resultats/194982|CompteDeResultat|0|0|2472|645615|46009|4|545457|4742|741|8556363|1044|0|1708172|9047738|/api/corporates/420223|0|0|-1|38691|0|0|0|0|0|186|313648|88925|1044|37118|0|0|0|9047738|8500|2467|0|9220951|2472|0|0|0|0|170354|5485|664587|1428|5804228|2855|0|0|0|194982|2017
12|/api/compte_de_resultats/194983|CompteDeResultat|0|0|0|335208|40907|0|2383085|0|90|1801091|62158|0|45662|1479319|/api/corporates/120735|0|0|-1|1041817|0|0|0|0|986|-1|210427|-212383|61173|0|0|0|0|1479319|0|29195|430|1614329|2390517|2104228|285859|0|0|135011|29105|-186761|2328358|127070|0|0|0|0|194983|2016
13|/api/compte_de_resultats/194984|CompteDeResultat|0|0|2790|52379|8|8|1844|0|111|199156|7731|0|1038|91294|/api/corporates/420225|0|0|-1|20941|0|0|0|0|0|-1|18922|1867|7731|0|0|0|0|89808|0|0|5|91812|118897|116102|0|0|0|510|-111|-107344|111166|105159|0|709|0|1487|194984|2016
14|/api/compte_de_resultats/194985|CompteDeResultat|-344|21004|0|1283201|10|0|43372|9727|4305|2193261|0|0|270352|2088208|/api/corporates/420227|0|0|-1|22459|0|0|0|0|0|-1|31675|2875|0|0|0|0|0|2066758|73700|30922|0|2148919|0|0|0|0|0|60711|90589|-44342|0|557368|0|0|7536|21450|194985|2017
