|@id|@type|AchatMatierePremiereAutreAppro|AchatsDeMarchandises|AutreInteretEtProduitAssimile|AutresAchatEtChargesExternes|AutresCharges|AutresProduits|Benefice|ChargesExceptionnelleOperationCapital|ChargesExceptionnelleOperationGestion|ChargesExploitation|ChargesFinancieres|ChargesNetteCessionValeurMobiliereDePlacement|ChargesSociales|ChiffresAffairesNet|Corporate|DifferenceNegativeChange|DifferencesPositivesChange|Dividende|DotationAmortissementImmobilisations|DotationDepreciationActifCirculant|DotationDepreciationImmobilisations|DotationExceptionnelleAmortissementDepreciationProvision|DotationProvisions|DotationsFinancieresAmortissementDepreciationProvision|EffectifsMoyens|ImpotTaxesEtVersementsAssimiles|ImpotsSurLesBenefices|InteretEtChargeAssimilees|ParticipationSalariesAuxResultats|ProductionImmobilisee|ProductionStocked|ProductionVendueDeBiens|ProductionVendueDeServices|ProduitExceptionnelOperationCapital|ProduitExceptionnelOperationGestion|ProduitsAutresValeursMobiliereEtCreancesActifImmobilise|ProduitsExploitation|ProduitsFinanciers|ProduitsFinanciersParticipations|ProduitsNetsCessionsValeursMobilesPlacement|RepriseDepreciationEtProvisionTransfertsCharges|RepriseDepreciationProvisionTransfertCharge|RepriseDepreciationProvisionsTransfertCharges|ResultatExceptionnel|ResultatExploitation|ResultatFinancier|SalairesEtTraitements|SubventionsExploitation|VariationStockMarchandise|VariationStockMatierePremiereEtAppro|VenteMarchandises|id|year
0|/api/compte_de_resultats/74971|CompteDeResultat|0|492883|17468|218346|3007|9|95923|0|0|855064|746|0|68888|964167|/api/corporates/179009|0|0|-1|4430|0|0|0|0|0|-1|3288|31591|746|0|0|0|0|964167|0|0|0|965856|17468|0|0|0|0|1680|0|110792|16722|96593|0|-32373|0|0|74971|2016
1|/api/compte_de_resultats/74972|CompteDeResultat|135|25457|3|26341|41|0|-44644|0|0|95326|0|0|7870|50677|/api/corporates/179012|0|0|-1|1141|0|0|0|0|0|3|512|0|0|0|0|0|0|23809|0|0|0|50677|3|0|0|0|0|0|0|-44648|3|33829|0|0|0|26868|74972|2016
2|/api/compte_de_resultats/74973|CompteDeResultat|0|0|0|127095|1|19|33826|0|186|299117|0|0|48175|338820|/api/corporates/79274|0|0|-1|1055|0|0|0|0|0|-1|1861|6144|0|0|0|0|0|338820|0|0|0|339272|0|0|0|0|0|0|-186|40155|0|120929|433|0|0|0|74973|2016
3|/api/compte_de_resultats/74974|CompteDeResultat|0|0|0|191413|0|0|7792|0|7004|789063|443739|0|164282|838260|/api/corporates/179016|0|0|-1|3292|22133|0|0|141|400000|9|15580|0|43739|0|0|0|0|838260|0|3|3088|839508|403088|0|0|400000|5000|1247|-2001|50444|-40650|392220|0|0|0|0|74974|2015
4|/api/compte_de_resultats/74975|CompteDeResultat|0|0|10664|80360|20|4|2103160|0|0|1008549|66994|0|275379|1140000|/api/corporates/179017|0|0|-1|15694|0|0|0|0|0|-1|38823|61058|66994|0|0|0|0|1140000|0|0|0|1163597|2076164|2065500|0|0|0|23593|0|155047|2009170|598270|0|0|0|0|74975|2016
5|/api/compte_de_resultats/74976|CompteDeResultat|912|387907|287|120030|2194|4368|33235|303|183|620168|3670|0|40512|656752|/api/corporates/179020|133|563|-1|3352|11947|0|0|0|0|5|1441|5234|3538|0|0|0|0|0|822|0|3|661120|852|0|0|0|0|0|336|40952|-2818|102626|0|-50752|0|656752|74976|2016
6|/api/compte_de_resultats/74977|CompteDeResultat|0|2624|1337|18561723|119967|50834|40883|6134|620|30156080|188391|0|2399785|29923521|/api/corporates/179022|0|0|-1|880548|43223|0|0|48267|100000|229|1948475|0|88391|0|0|0|0|29923521|6740|17880|14687|30298198|56008|39984|0|0|13281|322843|31147|142118|-132382|6150263|1000|0|1202|0|74977|2016
7|/api/compte_de_resultats/74978|CompteDeResultat|1822022|0|2179|1832721|3194|20026|362022|74102|31431|5452895|4051|0|550137|6024853|/api/corporates/179025|0|0|-1|40221|0|0|27650|0|0|-1|70384|170512|4051|0|0|-5752|0|5825842|52100|0|0|6061171|2179|0|0|0|7215|22043|-73869|608275|-1872|1185064|0|0|-50852|199011|74978|2016
8|/api/compte_de_resultats/74979|CompteDeResultat|0|0|0|9884|5291|1|-13134|0|0|15694|12375|0|0|14934|/api/corporates/179026|0|0|-1|0|0|0|0|0|0|-1|520|0|12375|0|0|0|0|14934|0|0|0|14935|0|0|0|0|0|0|0|-759|-12375|0|0|0|0|0|74979|2016
9|/api/compte_de_resultats/74980|CompteDeResultat|0|0|0|14620|1|1|-8554|0|0|14564|8710|0|0|14719|/api/corporates/179026|0|0|-1|0|0|0|0|0|0|-1|-57|0|8710|0|0|0|0|14719|0|0|0|14720|0|0|0|0|0|0|0|156|-8710|0|0|0|0|0|74980|2015
