|@id|@type|AchatMatierePremiereAutreAppro|AchatsDeMarchandises|AutreInteretEtProduitAssimile|AutresAchatEtChargesExternes|AutresCharges|AutresProduits|Benefice|ChargesExceptionnelleOperationCapital|ChargesExceptionnelleOperationGestion|ChargesExploitation|ChargesFinancieres|ChargesNetteCessionValeurMobiliereDePlacement|ChargesSociales|ChiffresAffairesNet|Corporate|DifferenceNegativeChange|DifferencesPositivesChange|Dividende|DotationAmortissementImmobilisations|DotationDepreciationActifCirculant|DotationDepreciationImmobilisations|DotationExceptionnelleAmortissementDepreciationProvision|DotationProvisions|DotationsFinancieresAmortissementDepreciationProvision|EffectifsMoyens|ImpotTaxesEtVersementsAssimiles|ImpotsSurLesBenefices|InteretEtChargeAssimilees|ParticipationSalariesAuxResultats|ProductionImmobilisee|ProductionStocked|ProductionVendueDeBiens|ProductionVendueDeServices|ProduitExceptionnelOperationCapital|ProduitExceptionnelOperationGestion|ProduitsAutresValeursMobiliereEtCreancesActifImmobilise|ProduitsExploitation|ProduitsFinanciers|ProduitsFinanciersParticipations|ProduitsNetsCessionsValeursMobilesPlacement|RepriseDepreciationEtProvisionTransfertsCharges|RepriseDepreciationProvisionTransfertCharge|RepriseDepreciationProvisionsTransfertCharges|ResultatExceptionnel|ResultatExploitation|ResultatFinancier|SalairesEtTraitements|SubventionsExploitation|VariationStockMarchandise|VariationStockMatierePremiereEtAppro|VenteMarchandises|id|year
0|/api/compte_de_resultats/239971|CompteDeResultat|0|0|2191|170045|1|26036|983095|0|222|377932|0|0|47228|448654|/api/corporates/48887|0|0|-1|64046|0|0|0|0|0|-1|10077|48498|0|0|0|0|0|448654|0|144|0|481225|928378|926187|0|0|0|6535|-78|103293|928378|86535|0|0|0|0|239971|2017
1|/api/compte_de_resultats/239972|CompteDeResultat|0|0|0|2955|1|0|343|0|0|94776|0|0|21821|93000|/api/corporates/72429|0|0|-1|0|0|0|0|0|0|-1|5302|0|0|0|0|0|0|93000|0|0|0|95119|0|0|0|0|0|2119|0|343|0|64697|0|0|0|0|239972|2017
2|/api/compte_de_resultats/239973|CompteDeResultat|37780|0|0|39641|232|23|7986|0|17|90078|2085|0|0|99324|/api/corporates/488490|0|0|-1|12353|0|0|0|0|0|-1|667|1412|2085|0|0|0|99324|0|390|0|0|101189|0|0|0|0|0|1841|373|11111|-2085|0|0|0|-594|0|239973|2017
3|/api/compte_de_resultats/239974|CompteDeResultat|0|0|223|11799|0|617|14952|0|90|16305|452|0|0|32437|/api/corporates/140101|0|0|-1|3864|0|0|0|0|0|-1|641|1479|452|0|0|0|0|32437|0|0|0|33054|223|0|0|0|0|0|-90|16749|-228|0|0|0|0|0|239974|2018
4|/api/compte_de_resultats/239975|CompteDeResultat|157|494451|0|440419|1041|611|-68076|250205|2053|2441362|11455|0|70182|2408767|/api/corporates/488492|0|0|300000|75438|0|0|0|0|0|14|41869|-18723|11455|0|0|0|1069|35779|200000|3286|0|2414989|0|0|0|0|0|0|-48972|-26373|-11455|269943|5611|1047862|0|2371919|239975|2017
5|/api/compte_de_resultats/239976|CompteDeResultat|0|0|0|28315|2|0|34915|0|0|46288|878|0|3570|58000|/api/corporates/301444|0|0|-1|14400|0|0|0|0|0|-1|0|1970|878|0|0|0|0|58000|0|0|0|58960|25091|25091|0|0|0|959|0|12672|24213|0|0|0|0|0|239976|2018
6|/api/compte_de_resultats/239977|CompteDeResultat|0|0|2102|522446|11656|0|867358|29587|0|3855710|76419|0|910414|4967282|/api/corporates/488495|74928|68364|-1|0|9467|0|0|0|0|10|37936|436671|1491|0|0|196577|0|4967282|29002|2111|306|5163859|70772|0|0|0|0|0|1526|1308149|-5646|2363792|0|0|0|0|239977|2018
7|/api/compte_de_resultats/239978|CompteDeResultat|0|0|0|48220|60|13|-1091|0|0|49833|0|0|936|29229|/api/corporates/488497|0|0|-1|234|0|0|0|0|0|-1|383|0|0|0|0|0|0|29229|19500|0|0|29242|0|0|0|0|0|0|19500|-20591|0|0|0|0|0|0|239978|2015
8|/api/compte_de_resultats/239979|CompteDeResultat|0|0|0|412716|527|28|23|349|377|842707|139|0|115483|826660|/api/corporates/488498|40|56|-1|2744|0|0|0|0|0|-1|17890|4300|100|0|0|0|0|826660|349|0|0|847490|56|0|0|0|0|18813|-377|4783|-83|293348|1989|0|0|0|239979|2018
9|/api/compte_de_resultats/239980|CompteDeResultat|2006|80574|0|557067|782|84|60889|11833|21724|1037438|10206|0|46494|1128409|/api/corporates/120939|0|0|-1|116741|0|0|0|0|0|-1|32071|12620|10206|0|2926|0|0|874876|13477|1722|0|1139510|0|0|0|0|0|8091|-18358|102072|-10205|198844|0|0|2857|253533|239980|2018
10|/api/compte_de_resultats/239981|CompteDeResultat|703282|0|624|77002|8882|1|-749|0|10799|845992|0|0|10624|843915|/api/corporates/488499|0|0|-1|9302|2000|0|0|0|0|-1|753|0|0|0|0|0|839464|4452|1612|3182|0|844307|6941|6317|0|0|0|390|-6005|-1685|6941|36814|0|0|-2668|0|239981|2018
