|@id|@type|AchatMatierePremiereAutreAppro|AchatsDeMarchandises|AutreInteretEtProduitAssimile|AutresAchatEtChargesExternes|AutresCharges|AutresProduits|Benefice|ChargesExceptionnelleOperationCapital|ChargesExceptionnelleOperationGestion|ChargesExploitation|ChargesFinancieres|ChargesNetteCessionValeurMobiliereDePlacement|ChargesSociales|ChiffresAffairesNet|Corporate|DifferenceNegativeChange|DifferencesPositivesChange|Dividende|DotationAmortissementImmobilisations|DotationDepreciationActifCirculant|DotationDepreciationImmobilisations|DotationExceptionnelleAmortissementDepreciationProvision|DotationProvisions|DotationsFinancieresAmortissementDepreciationProvision|EffectifsMoyens|ImpotTaxesEtVersementsAssimiles|ImpotsSurLesBenefices|InteretEtChargeAssimilees|ParticipationSalariesAuxResultats|ProductionImmobilisee|ProductionStocked|ProductionVendueDeBiens|ProductionVendueDeServices|ProduitExceptionnelOperationCapital|ProduitExceptionnelOperationGestion|ProduitsAutresValeursMobiliereEtCreancesActifImmobilise|ProduitsExploitation|ProduitsFinanciers|ProduitsFinanciersParticipations|ProduitsNetsCessionsValeursMobilesPlacement|RepriseDepreciationEtProvisionTransfertsCharges|RepriseDepreciationProvisionTransfertCharge|RepriseDepreciationProvisionsTransfertCharges|ResultatExceptionnel|ResultatExploitation|ResultatFinancier|SalairesEtTraitements|SubventionsExploitation|VariationStockMarchandise|VariationStockMatierePremiereEtAppro|VenteMarchandises|id|year
0|/api/compte_de_resultats/44971|CompteDeResultat|0|0|0|16024|0|0|-16111|0|0|16024|45|0|0|0|/api/corporates/106197|0|0|-1|0|0|0|42|0|0|-1|0|0|45|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-42|-16024|-45|0|0|0|0|0|44971|2016
1|/api/compte_de_resultats/44972|CompteDeResultat|7088|700589|68|140971|276|53|35851|0|100|941962|2860|0|18718|990231|/api/corporates/106198|0|0|35535|20746|0|0|0|0|0|2|2241|16008|2860|0|0|0|0|625|0|200|0|996514|68|0|0|0|0|6230|100|54552|-2793|66245|0|-14293|-619|989606|44972|2016
2|/api/compte_de_resultats/44973|CompteDeResultat|0|0|480|13001|0|0|21707|0|0|143854|4219|0|45211|170000|/api/corporates/106199|0|0|-1|0|0|0|495|0|0|-1|7182|248|4219|0|0|0|170000|0|0|0|43|170000|523|0|0|0|0|0|-495|26147|-3697|78460|0|0|0|0|44973|2016
3|/api/compte_de_resultats/44974|CompteDeResultat|0|0|0|1579514|3016|834|-222122|213|0|2019804|18356|0|104325|1773155|/api/corporates/106200|12092|24248|-1|21339|0|0|0|0|0|-1|22221|0|6264|0|0|0|0|1773155|2708|0|0|1789294|24248|0|0|0|0|15305|2496|-230510|5892|289388|0|0|0|0|44974|2016
4|/api/compte_de_resultats/44975|CompteDeResultat|0|0|0|24585|0|0|57399|1|0|122417|3434|0|39633|147700|/api/corporates/106204|0|0|-1|0|0|0|0|0|0|-1|799|4453|3434|0|0|0|0|147700|0|0|0|147700|40003|0|0|40003|0|0|0|25283|36569|57400|0|0|0|0|44975|2016
5|/api/compte_de_resultats/44976|CompteDeResultat|473724|2312299|1367|1559526|5532|4626|543675|0|427|4861631|12817|0|192446|5494091|/api/corporates/106207|68|563|-1|96459|8254|0|0|8665|0|-1|61336|221552|12749|37157|51395|47915|1422879|161387|0|32958|0|5640410|1929|0|0|0|1962|38979|34493|778779|-10888|408563|3404|-240461|-24711|3909825|44976|2016
6|/api/compte_de_resultats/44977|CompteDeResultat|2875|440143|10|227220|86|25|-123025|0|93|900078|6528|0|44120|782334|/api/corporates/106208|0|0|-1|30237|0|0|0|0|0|-1|3922|0|6528|0|0|0|0|2806|0|1032|0|782632|10|0|0|0|0|273|939|-117445|-6519|131138|0|20337|0|779528|44977|2016
7|/api/compte_de_resultats/44978|CompteDeResultat|-262|0|0|398064|3|1|23534|0|0|404870|10077|0|0|437601|/api/corporates/106210|0|0|-1|13399|0|0|0|0|0|-1|1539|11768|10077|0|10246|1848|435999|1601|0|0|554|449696|554|0|0|0|0|0|0|44826|-9523|0|0|0|-7872|0|44978|2015
8|/api/compte_de_resultats/44979|CompteDeResultat|296|0|0|3773|0|0|4590|0|0|49234|0|0|11856|53824|/api/corporates/106214|0|0|-1|0|0|0|0|0|0|-1|491|0|0|0|0|0|0|53824|0|0|0|53824|0|0|0|0|0|0|0|4590|0|32818|0|0|0|0|44979|2016
9|/api/compte_de_resultats/44980|CompteDeResultat|0|0|477|24664|113|32|38169|7228|0|46759|0|0|0|83998|/api/corporates/106215|0|0|-1|21982|0|0|0|0|0|-1|0|8601|0|0|0|0|0|83998|6250|10000|0|84030|477|0|0|0|0|0|9022|37271|477|0|0|0|0|0|44980|2016
