|@id|@type|AchatMatierePremiereAutreAppro|AchatsDeMarchandises|AutreInteretEtProduitAssimile|AutresAchatEtChargesExternes|AutresCharges|AutresProduits|Benefice|ChargesExceptionnelleOperationCapital|ChargesExceptionnelleOperationGestion|ChargesExploitation|ChargesFinancieres|ChargesNetteCessionValeurMobiliereDePlacement|ChargesSociales|ChiffresAffairesNet|Corporate|DifferenceNegativeChange|DifferencesPositivesChange|Dividende|DotationAmortissementImmobilisations|DotationDepreciationActifCirculant|DotationDepreciationImmobilisations|DotationExceptionnelleAmortissementDepreciationProvision|DotationProvisions|DotationsFinancieresAmortissementDepreciationProvision|EffectifsMoyens|ImpotTaxesEtVersementsAssimiles|ImpotsSurLesBenefices|InteretEtChargeAssimilees|ParticipationSalariesAuxResultats|ProductionImmobilisee|ProductionStocked|ProductionVendueDeBiens|ProductionVendueDeServices|ProduitExceptionnelOperationCapital|ProduitExceptionnelOperationGestion|ProduitsAutresValeursMobiliereEtCreancesActifImmobilise|ProduitsExploitation|ProduitsFinanciers|ProduitsFinanciersParticipations|ProduitsNetsCessionsValeursMobilesPlacement|RepriseDepreciationEtProvisionTransfertsCharges|RepriseDepreciationProvisionTransfertCharge|RepriseDepreciationProvisionsTransfertCharges|ResultatExceptionnel|ResultatExploitation|ResultatFinancier|SalairesEtTraitements|SubventionsExploitation|VariationStockMarchandise|VariationStockMatierePremiereEtAppro|VenteMarchandises|id|year
0|/api/compte_de_resultats/89971|CompteDeResultat|0|0|0|12407|0|0|29779|0|90|65886|0|0|17879|101270|/api/corporates/213504|0|0|-1|1081|0|0|0|0|0|-1|4291|5516|0|0|0|0|0|101270|0|0|0|101270|0|0|0|0|0|0|-90|35385|0|30227|0|0|0|0|89971|2016
1|/api/compte_de_resultats/89972|CompteDeResultat|0|0|0|5507|0|0|95653|0|0|5507|28653|0|0|0|/api/corporates/213506|0|0|-1|0|0|0|0|0|0|-1|0|0|28653|0|0|0|0|0|0|0|0|0|129814|129814|0|0|0|0|0|-5507|101161|0|0|0|0|0|89972|2016
2|/api/compte_de_resultats/89973|CompteDeResultat|3885|5729945|4259|357153|6714|2360|106785|0|3306|7139381|7935|0|147182|7205531|/api/corporates/213507|0|0|-1|12085|50952|0|0|0|0|15|45471|23660|7935|0|0|0|0|150941|0|520|0|7276288|4259|0|0|0|0|68397|-2786|136907|-3676|458074|0|327919|0|7054591|89973|2016
3|/api/compte_de_resultats/89974|CompteDeResultat|0|0|380|3602|3|3|36360|0|0|35957|53089|29153|9144|0|/api/corporates/213509|0|0|-1|0|0|0|0|0|23227|-1|307|7697|709|0|0|0|0|0|0|0|0|3|133100|97404|0|35316|0|0|0|-35954|80011|22900|0|0|0|0|89974|2016
4|/api/compte_de_resultats/89975|CompteDeResultat|834633|-10897|1338|1317706|155|141|254155|9562|152|3673053|699|0|239677|3939085|/api/corporates/213510|0|0|-1|61726|0|0|0|0|0|-1|63527|98413|699|0|0|0|0|3939085|72500|0|0|3960443|3092|1753|0|0|0|9897|62786|287389|2393|1166417|11319|0|109|0|89975|2016
5|/api/compte_de_resultats/89976|CompteDeResultat|286|1292757|6465|458882|3854|202|30635|6342|270|2479472|6736|0|122998|2516405|/api/corporates/213511|0|0|-1|52714|4230|0|0|0|0|-1|32279|4895|6736|0|0|0|0|15310|417|0|0|2521468|6465|0|0|0|0|4861|-6195|41996|-270|291211|0|220261|0|2501095|89976|2017
6|/api/compte_de_resultats/89977|CompteDeResultat|0|0|0|2260|0|3|-132257|0|0|132260|0|0|0|0|/api/corporates/213512|0|0|-1|0|130000|0|0|0|0|-1|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|0|-132257|0|0|0|0|0|0|89977|2015
7|/api/compte_de_resultats/89978|CompteDeResultat|1191163|0|11706|948272|65980|1|910612|0|1553|5162444|55489|0|501345|6461273|/api/corporates/213515|0|0|-1|136426|4544|0|0|0|0|-1|227375|407510|55489|0|0|0|0|6461273|0|642|0|6525261|11706|0|0|0|0|55042|-911|1362817|-43783|2088739|8946|0|-1402|0|89978|2016
8|/api/compte_de_resultats/89979|CompteDeResultat|1172372|0|25065|954073|54847|18|891166|0|330|5033126|85574|0|464338|6329093|/api/corporates/213515|0|0|-1|137757|21283|0|0|0|0|-1|210186|398612|85574|0|0|0|0|6329093|0|1514|0|6382229|25065|0|0|0|0|45118|1184|1349103|-60509|2002179|8000|0|16090|0|89979|2015
9|/api/compte_de_resultats/89980|CompteDeResultat|528103|15898|723|577336|1025|178|36348|0|1885|1516656|0|0|137574|1554277|/api/corporates/213516|0|0|-1|7377|16674|0|0|0|0|8|11848|4683|0|0|0|0|0|1554277|3500|0|0|1555349|723|0|0|0|0|893|1615|38692|723|237454|0|0|-16636|0|89980|2016
10|/api/compte_de_resultats/89981|CompteDeResultat|0|279281|0|102198|3005|557|50138|0|0|484223|95|0|20099|545679|/api/corporates/213517|0|0|-1|4434|2114|0|0|0|0|-1|1199|13750|95|0|0|0|0|0|0|0|0|548206|0|0|0|0|0|1970|0|63983|-95|67419|0|4474|0|545679|89981|2016
11|/api/compte_de_resultats/89982|CompteDeResultat|0|0|0|100763|2554|36|7480|0|6908|282393|1988|0|20114|275030|/api/corporates/212828|0|0|-1|10270|5014|0|0|0|0|-1|5597|0|1988|0|0|0|0|275030|0|15986|0|282782|0|0|0|0|0|7717|9078|389|-1988|138079|0|0|0|0|89982|2014
12|/api/compte_de_resultats/89983|CompteDeResultat|0|0|0|99599|9164|104|-14988|0|12329|289367|2747|0|26422|258361|/api/corporates/212828|0|0|-1|14056|1996|0|0|0|0|-1|5636|0|2747|0|0|0|0|258361|0|19783|0|269672|0|0|0|0|0|11208|7454|-19695|-2747|132495|0|0|0|0|89983|2013
13|/api/compte_de_resultats/89984|CompteDeResultat|214649|0|5|128123|75|152|34718|0|2159|690994|1653|0|121722|703346|/api/corporates/213520|0|0|-1|2231|0|0|0|0|0|8|7709|0|1653|0|0|13765|0|703346|0|0|0|729520|5|0|0|0|0|12256|-2159|38525|-1648|220056|0|0|-3572|0|89984|2015
14|/api/compte_de_resultats/89985|CompteDeResultat|48464|0|0|598422|1645|134|125528|0|0|2341255|0|0|225898|2158413|/api/corporates/213522|0|0|-1|144008|0|0|0|0|0|57|116028|-54583|0|0|0|20739|0|2158194|0|0|0|2412200|0|0|0|0|0|197725|0|70945|0|1203901|35189|0|2888|219|89985|2016
15|/api/compte_de_resultats/89986|CompteDeResultat|14549|2692|0|26301|9|0|4138|0|0|58919|64|0|7799|61989|/api/corporates/211901|0|0|-1|2170|1047|0|0|0|0|-1|612|0|64|0|0|0|0|1122|0|0|0|63121|0|0|0|0|0|1131|0|4202|-64|6400|0|-2659|0|60867|89986|2016
